Date,Adj Close
2008-01-02,29.540000915527344
2008-01-03,29.15999984741211
2008-01-04,29.15999984741211
2008-01-07,29.149999618530273
2008-01-08,27.899999618530273
2008-01-09,27.59000015258789
2008-01-10,27.299999237060547
2008-01-11,26.739999771118164
2008-01-14,26.09000015258789
2008-01-15,27.399999618530273
2008-01-16,26.18000030517578
2008-01-17,26.100000381469727
2008-01-18,26.049999237060547
2008-01-21,26.0
2008-01-22,23.670000076293945
2008-01-23,25.84000015258789
2008-01-24,25.520000457763672
2008-01-25,26.309999465942383
2008-01-28,26.799999237060547
2008-01-29,26.25
2008-01-30,26.420000076293945
2008-01-31,26.399999618530273
2008-02-01,26.690000534057617
2008-02-04,27.280000686645508
2008-02-05,27.15999984741211
2008-02-06,26.0
2008-02-07,26.200000762939453
2008-02-08,26.15999984741211
2008-02-11,25.65999984741211
2008-02-12,25.780000686645508
2008-02-13,26.309999465942383
2008-02-14,27.0
2008-02-15,26.770000457763672
2008-02-18,26.920000076293945
2008-02-19,26.93000030517578
2008-02-20,27.200000762939453
2008-02-21,27.350000381469727
2008-02-22,27.059999465942383
2008-02-25,27.309999465942383
2008-02-26,27.25
2008-02-27,27.75
2008-02-28,27.59000015258789
2008-02-29,27.25
2008-03-03,26.6200008392334
2008-03-04,26.600000381469727
2008-03-05,26.489999771118164
2008-03-06,26.639999389648438
2008-03-07,26.020000457763672
2008-03-10,25.969999313354492
2008-03-11,25.709999084472656
2008-03-12,26.0
2008-03-13,25.760000228881836
2008-03-14,25.850000381469727
2008-03-17,25.399999618530273
2008-03-18,25.18000030517578
2008-03-19,25.3799991607666
2008-03-20,25.010000228881836
2008-03-25,25.809999465942383
2008-03-26,26.229999542236328
2008-03-27,26.520000457763672
2008-03-28,26.399999618530273
2008-03-31,26.56999969482422
2008-04-01,27.010000228881836
2008-04-02,27.479999542236328
2008-04-03,27.329999923706055
2008-04-04,27.010000228881836
2008-04-07,27.299999237060547
2008-04-08,27.799999237060547
2008-04-09,26.969999313354492
2008-04-10,26.450000762939453
2008-04-11,26.809999465942383
2008-04-14,26.280000686645508
2008-04-15,26.0
2008-04-16,26.540000915527344
2008-04-17,26.920000076293945
2008-04-18,27.0
2008-04-21,27.290000915527344
2008-04-22,27.149999618530273
2008-04-23,26.809999465942383
2008-04-24,27.1200008392334
2008-04-25,27.34000015258789
2008-04-28,27.469999313354492
2008-04-29,27.450000762939453
2008-04-30,27.389999389648438
2008-05-02,27.5
